150304,乌达区,county,内蒙古自治区,内蒙古自治区,150304,150000,150000,150304
150400,赤峰市,city,内蒙古自治区,赤峰市,,150000,150400,
150402,红山区,county,内蒙古自治区,内蒙古自治区,150402,150000,150000,150402
150403,元宝山区,county,内蒙古自治区,内蒙古自治区,150403,150000,150000,150403
150404,松山区,county,内蒙古自治区,内蒙古自治区,150404,150000,150000,150404
150421,阿鲁科尔沁旗,county,内蒙古自治区,内蒙古自治区,150421,150000,150000,150421
150422,巴林左旗,county,内蒙古自治区,内蒙古自治区,150422,150000,150000,150422
150423,巴林右旗,county,内蒙古自治区,内蒙古自治区,150423,150000,150000,150423
150424,林西县,county,内蒙古自治区,内蒙古自治区,150424,150000,150000,150424
150425,克什克腾旗,county,内蒙古自治区,内蒙古自治区,150425,150000,150000,150425
150426,翁牛特旗,county,内蒙古自治区,内蒙古自治区,150426,150000,150000,150426
150428,喀喇沁旗,county,内蒙古自治区,内蒙古自治区,150428,150000,150000,150428
150429,宁城县,county,内蒙古自治区,内蒙古自治区,150429,150000,150000,150429
150430,敖汉旗,county,内蒙古自治区,内蒙古自治区,150430,150000,150000,150430
150500,通辽市,city,内蒙古自治区,通辽市,,150000,150500,
150502,科尔沁区,county,内蒙古自治区,内蒙古自治区,150502,150000,150000,150502
150521,科尔沁左翼中旗,county,内蒙古自治区,内蒙古自治区,150521,150000,150000,150521
150522,科尔沁左翼后旗,county,内蒙古自治区,内蒙古自治区,150522,150000,150000,150522
150523,开鲁县,county,内蒙古自治区,内蒙古自治区,150523,150000,150000,150523
150524,库伦旗,county,内蒙古自治区,内蒙古自治区,150524,150000,150000,150524
150525,奈曼旗,county,内蒙古自治区,内蒙古自治区,150525,150000,150000,150525
150526,扎鲁特旗,county,内蒙古自治区,内蒙古自治区,150526,150000,150000,150526
150581,霍林郭勒市,county,内蒙古自治区,内蒙古自治区,150581,150000,150000,150581
150600,鄂尔多斯市,city,内蒙古自治区,鄂尔多斯市,,150000,150600,
150602,东胜区,county,内蒙古自治区,内蒙古自治区,150602,150000,150000,150602
150603,康巴什区,county,内蒙古自治区,内蒙古自治区,150603,150000,150000,150603
150621,达拉特旗,county,内蒙古自治区,内蒙古自治区,150621,150000,150000,150621
150622,准格尔旗,county,内蒙古自治区,内蒙古自治区,150622,150000,150000,150622
150623,鄂托克前旗,county,内蒙古自治区,内蒙古自治区,150623,150000,150000,150623
150624,鄂托克旗,county,内蒙古自治区,内蒙古自治区,150624,150000,150000,150624
150625,杭锦旗,county,内蒙古自治区,内蒙古自治区,150625,150000,150000,150625
150626,乌审旗,county,内蒙古自治区,内蒙古自治区,150626,150000,150000,150626
150627,伊金霍洛旗,county,内蒙古自治区,内蒙古自治区,150627,150000,150000,150627
150700,呼伦贝尔市,city,内蒙古自治区,呼伦贝尔市,,150000,150700,
150702,海拉尔区,county,内蒙古自治区,内蒙古自治区,150702,150000,150000,150702
150703,扎赉诺尔区,county,内蒙古自治区,内蒙古自治区,150703,150000,150000,150703
